Denumirea străzii;Numerele caselor;Codul  poştal
Grădina Botanica;2-4,  5 - 9,  9/1,;MD-2002
Grădina Botanica;19-29,   26,-28;MD-2023
Grătieşti;toate;MD-2020
Pictor Mihai Grecu .;toate;MD-2025
Str-la Pictor Mihai Grecu;toate;MD-2025
Mihai Grebencea;toate;MD-2002
Grenoble;1, 3, 5, 7;MD-2028
Grenoble;17-,37, 111, 131.;MD-2025
Grenoble;132, 193, 199;MD-2043
Grenoble;134-136, 176, 180-196-sf.;MD-2072
Grenoble;257-287;MD-2072
Grenoble;106-130,;MD-2019
Grenoble;147-191,;MD-2019
Grenoble;203-209;MD-2060
Nicolae Grigorescu;toate;MD-2023
Griviţei;1-sf, 2-sf;MD-2028
Grîului;toate;MD-2008
Grînelor;toate;MD-2011
Acad. I. Grosul;toate;MD-2028
Gura Văii;toate;MD-2049
Gutuilor;toate;MD-2011
Valentin Guţu;toate;MD-2025
Habad Liubavici;toate;MD-2012
Haiducilor;toate;MD-2028
Haiducul Bujor;toate;MD-2044
Pantelimon Halippa;toate;MD-2009
Haltei;toate;MD-2023
Str-la Haltei;toate;MD-2023
Hanul Morii;toate;MD-2002
Str-la Hanul Morii;toate;MD-2002
Vasilie Harea;toate;MD-2049
Bogdan Petriceicu Haşdeu;toate;MD-2005
Str-la Herţen;toate;MD-2025
Hipodromului;toate;MD-2059
Alexandru Hîjdeu;29-63, 34-98, 98/1;MD-2001
Alexandru Hîjdeu;71-sf, 102-sf;MD-2005
Hînceşti,şos.; 82/1, 84;MD-2021
Hînceşti,şos.;3-61, 2-82;MD-2028
Hînceşti,şos.;86, 106-sf, 145-sf;MD-2070
Iacob Hîncu;toate;MD-2005
Ştefan Holban;toate;MD-2002
Horea;toate;MD-2019
Hotarul Satului;toate;MD-2002
Hotin;toate;MD-2059
Hruşca;1-sf, 2-sf;MD-2038
Str-la Hruşca;toate;MD-2001
Humuleşti;toate;MD-2008
Ghenadie Iablocikin;5, 2;MD-2069
Ialoveni;toate;MD-2070
Avram Iancu;toate;MD-2001
Iazului;toate;MD-2020
Ierusalim;toate;MD-2005
Imaşului;toate;MD-2029
Str-la Imaşului;toate;MD-2029
Ion Inculeţ;1-37, 4-48;MD-2001
Ion Inculeţ;41-101, 50-78, 105-105/4;MD-2025
Independenţei;1-5, 2/1-16;MD-2043
Independenţei;1a, 2;MD-2019
Independenţei;26, 26/2, 28-sf;MD-2072
Independenţei;7/1-9/4, 18-24/3, 15;MD-2060
Industrială;toate;MD-2023
Nicolae Iorga;1-5, 2-10;MD-2009
Nicolae Iorga;7-sf, 12-sf;MD-2012
Vlad Ioviţă;toate;MD-2072
Ipoteşti;toate;MD-2049
Irişilor;toate;MD-2075
Magda Isanos;1-7, 2-10;MD-2059
Magda Isanos;7a-sf, 12-sf;MD-2020
Ismail;97-113,  112-116/10;MD-2023
Ismail;1, 9-77, 81, 16-108;MD-2001
Istra;toate;MD-2002
Lidia Istrati;toate;MD-2045
Str-la Lidia Istrati;toate;MD-2045
Işnovăţ;toate;MD-2023
Izvoarelor;toate;MD-2028
Str-la Izvoarelor 1;toate;MD-2028
Andrei Izbaş;toate;MD-2044
Înălţării;toate;MD-2002
Învierii;toate;MD-2002
Pictor Ion Jumati;toate;MD-2062
Str-la Pictor Ion Jumati 1;toate;MD-2062
Str-la Pictor Ion Jumati 2;toate;MD-2062
Junimea;toate;MD-2001
Jubiliară;toate;MD-2019
Str-la Jubiliară, 1;toate;MD-2019
Mihai Juraveli;toate;MD-2019
Str-la Mihai Juraveli 1;toate;MD-2019
Str-la Mihai Juraveli 3;toate;MD-2019
Lech Kaczynski;1-5;MD-2028
Kiev;toate;MD-2068
Mihai Kogălniceanu;1-29, 2-28;MD-2001
Mihai Kogălniceanu;31-39, 30-34, 80;MD-2012
Mihai Kogălniceanu;41-93,36-92;MD-2009
Vladimir Komarov;toate;MD-2059
Vladimir Korolenco;1-7, 2-6;MD-2028
Vladimir Korolenco;8, 53-63 ,10, 12;MD-2025
V. Kovtun;toate;MD-2070
Str-la V. Kovtun;toate;MD-2070
Lacului;toate;MD-2009
Lalelelor;toate;MD-2059
Maria Lătăreţu;toate;MD-2008
Serghei Lazo;1, 1/1;MD-2009
Serghei Lazo;toate (cu ex.1, 1/1);MD-2004
Lămăiţei;toate;MD-2028
Alexandru Lăpuşneanu;toate;MD-2004
Lăpuşnei;toate;MD-2009
Maria Lătăreţu;toate;MD-2008
Barbu Lăutaru;toate;MD-2008
