Tip;calificativ;Denumirea străzii;Numerele caselor;Codul  poştal
Strada;;Victor Crăsescu;toate;MD-2059
Strada;;Ion Creangă;1, 4-20/3;MD-2069
Strada;;Ion Creangă;59-61, 80-sf;MD-2051
Strada;;Ion Creangă;9-55, 22-78;MD-2064
Strada;;Ion Creangă (Codru);toate;MD-2019
Strada;;Anton Crihan;toate;MD-2009
Strada;;Crinilor;toate;MD-2070
Strada;;Alexandru Cristea;toate;MD-2032
Strada;;Cristeşti;toate;MD-2001
Strada;;Criuleni;toate;MD-2059
Strada;;Crisana;toate;MD-2043
Strada;;Gheorghe Crişan;toate;MD-2019
Strada;;Crizantemelor;toate;MD-2070
Strada;;Crîngului;toate;MD-2024
Strada;Avocat;Eugenia Cruşevan;1;MD-2028
Strada;Avocat;Eugenia Cruşevan;toate;MD-2021
Strada;;Str. Gheorghe Cucereanu;toate;MD-2029
Strada;;Cucorilor;toate;MD-2020
Strada;;Sergiu Culaţchi;toate;MD-2051
Strada;;Valeriu Cupcea;1-65, 2-48;MD-2009
Strada;;Valeriu Cupcea;67-sf, 50-sf.;MD-2021
Strada;;Liviu Damian;8;MD-2020
Strada;;Dante;toate;MD-2002
Strada;;Danubius;toate;MD-2002
Strada;;Aurel David;toate;MD-2009
Strada;;Dealul Cucului;toate;MD-2070
Strada;;Decembriştilor;toate;MD-2002
Strada;;Liviu Deleanu;toate;MD-2071
Strada;;Parascovia Didâc;toate;MD-2070
Strada;;Diminiţei;toate;MD-2002
Strada;;Nicolae Dimo;2-28,  1-23;MD-2068
Strada;;Nicolae Dimo;25-sf.;MD-2045
Strada;;Alexandru Diordiţă;1, 2;MD-2012
Strada;;Alexandru Diordiţă;toate (cu ex.1, 2);MD-2005
Strada;;Dîmbului;toate;MD-2009
Strada;;Dobruşa;toate;MD-2038
Strada;;Andrei Doga;toate;MD-2024
Strada;;Doina;104/2-sf, 187-sf;MD-2020
Strada;;Doina;1-185, 2-104(case de locuit);MD-2059
Strada;;Vasilii  Dokuceaev;1-13, 2-28;MD-2028
Strada;;Vasilii  Dokuceaev;21-sf, 30-sf.;MD-2021
Strada;;Domniţei;toate;MD-2049
Strada;;Ion Doncev;2;MD-2005
Strada;;Ion Doncev;toate (cu ex.2);MD-2004
Strada;;Alexandru Donici;toate;MD-2064
Strada;Astronom;Nicolae Donici;toate;MD-2049
Strada;;Dorobanţi;toate;MD-2002
Strada;;Dragomirna;1-65, 2-68;MD-2008
Strada;;Dragomirna (Codru);toate;MD-2019
Strada;;Drumul Băcioiului;toate;MD-2072
Strada;;Drumul Crucii;toate;MD-2069
Strada;;Drumul Schinoasei;toate;MD-2019
Strada;;Drumul Taberei;toate;MD-2008
Strada;;Drumul Viilor;67-97, 28-42.;MD-2021
Strada;;Drumul Viilor;99, 101;MD-2028
Strada;;Drumul Viilor;1-43, 2-28;MD-2009
Strada;;Dubăsari;toate;MD-2059
Strada;;Dumbrava (localitatea);toate;MD-2071
Strada;;Dumbrava Roşie;toate;MD-2023
Strada;;Dumbrăvii;toate;MD-2038
Strada;;Dumbravei;toate;MD-2011
Strada;;Liuba Dumitriu;toate;MD-2002
Strada;Profesor;Ion Dumeniuk;toate;MD-2075
Strada;;Duminica Mare;toate;MD-2002
Strada;;Durleşti;11-13;MD-2008
Strada;;Mircea Eliade;toate;MD-2009
Strada;;Mihai Eminescu;1-13, 2-16;MD-2009
